subject,count,link
"world war, 1914-1918--women--united states",1,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201914-1918--women--united%20states"
"young women's christian association of the u.s.a.",1,"https://she-changed-world.cb.ncpedia.org/browse.html#young%20women's%20christian%20association%20of%20the%20u.s.a."
"war, 1775--1783--women",1,"https://she-changed-world.cb.ncpedia.org/browse.html#war,%201775--1783--women"
"martin, glenn l. (glenn luther), 1886--1955",1,"https://she-changed-world.cb.ncpedia.org/browse.html#martin,%20glenn%20l.%20(glenn%20luther),%201886--1955"
"north carolina--history--american revolutionary",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--american%20revolutionary"
"surry county (n.c.)--industry and agriculture",1,"https://she-changed-world.cb.ncpedia.org/browse.html#surry%20county%20(n.c.)--industry%20and%20agriculture"
"african american radio broadcasters--north carolina--charlotte",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20american%20radio%20broadcasters--north%20carolina--charlotte"
"leeper, hattie",1,"https://she-changed-world.cb.ncpedia.org/browse.html#leeper,%20hattie"
"military nursing--united states--history--20th century",1,"https://she-changed-world.cb.ncpedia.org/browse.html#military%20nursing--united%20states--history--20th%20century"
"fort bragg (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20bragg%20(n.c.)"
"fort lee (va.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20lee%20(va.)"
"fort mcclellan (ala.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20mcclellan%20(ala.)"
"king, margaret belva mizelle, 1918--2004",1,"https://she-changed-world.cb.ncpedia.org/browse.html#king,%20margaret%20belva%20mizelle,%201918--2004"
"museums--north carolina--newton",1,"https://she-changed-world.cb.ncpedia.org/browse.html#museums--north%20carolina--newton"
"museums--north carolina--hickory",1,"https://she-changed-world.cb.ncpedia.org/browse.html#museums--north%20carolina--hickory"
"soap trade--north carolina--mayodan",1,"https://she-changed-world.cb.ncpedia.org/browse.html#soap%20trade--north%20carolina--mayodan"
"united states. army. airborne division, 82nd",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army.%20airborne%20division,%2082nd"
"united states. army reserve",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army%20reserve"
"united states. army. women's army corps",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army.%20women's%20army%20corps"
"cleaning compounds industry--north carolina--mayodan",1,"https://she-changed-world.cb.ncpedia.org/browse.html#cleaning%20compounds%20industry--north%20carolina--mayodan"
"slaves' writings, american",1,"https://she-changed-world.cb.ncpedia.org/browse.html#slaves'%20writings,%20american"
"women slaves--north carolina--edenton--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20slaves--north%20carolina--edenton--biography"
"jacobs, harriet a. (harriet ann), 1813--1897",1,"https://she-changed-world.cb.ncpedia.org/browse.html#jacobs,%20harriet%20a.%20(harriet%20ann),%201813--1897"
"kephart, horace, 1862--1931",1,"https://she-changed-world.cb.ncpedia.org/browse.html#kephart,%20horace,%201862--1931"
